SPEC:   5227.55   5233.25 3.19215e-16 1.41148e-17 1
SPEC:   5233.25   5238.95 3.35103e-16 1.42729e-17 1
SPEC:   5239.05   5244.75 3.48613e-16 1.43082e-17 1
SPEC:   5244.75   5250.45 3.32905e-16 1.43712e-17 1
SPEC:   5250.45   5256.15 3.19856e-16 1.44836e-17 1
SPEC:   5256.25   5261.95 3.37942e-16 1.45955e-17 1
SPEC:   5261.95   5267.65 3.53386e-16 1.46090e-17 1
SPEC:   5267.65   5273.35 3.44794e-16 1.47388e-17 1
SPEC:   5273.45   5279.15 3.67881e-16 1.49442e-17 1
SPEC:   5279.15   5284.85 3.71986e-16 1.50167e-17 1
SPEC:   5284.85   5290.55 3.56407e-16 1.51352e-17 1
SPEC:   5290.65   5296.35 3.64160e-16 1.52921e-17 1
SPEC:   5296.35   5302.05 3.64306e-16 1.54492e-17 1
SPEC:   5302.05   5307.75 3.57418e-16 1.56278e-17 1
SPEC:   5307.85   5313.55 3.82096e-16 1.57670e-17 1
SPEC:   5313.55   5319.25 4.13963e-16 1.59215e-17 1
SPEC:   5319.25   5324.95 3.85501e-16 1.60693e-17 1
SPEC:   5325.05   5330.75 3.81934e-16 1.61877e-17 1
SPEC:   5330.75   5336.45 4.25033e-16 1.63582e-17 1
SPEC:   5336.45   5342.15 4.25236e-16 1.65448e-17 1
SPEC:   5342.25   5347.95 3.97425e-16 1.66680e-17 1
SPEC:   5347.95   5353.65 4.11220e-16 1.68453e-17 1
SPEC:   5353.65   5359.35 4.18802e-16 1.69707e-17 1
SPEC:   5359.45   5365.15 4.27469e-16 1.70733e-17 1
SPEC:   5365.15   5370.85 4.37965e-16 1.72244e-17 1
SPEC:   5370.85   5376.55 4.28101e-16 1.73394e-17 1
SPEC:   5376.65   5382.35 4.30752e-16 1.74430e-17 1
SPEC:   5382.35   5388.05 4.00973e-16 1.75113e-17 1
SPEC:   5388.05   5393.75 4.33395e-16 1.75413e-17 1
SPEC:   5393.85   5399.55 3.74311e-16 1.76268e-17 1
SPEC:   5399.55   5405.25 4.07093e-16 1.76709e-17 1
SPEC:   5405.25   5410.95 4.14290e-16 1.76662e-17 1
SPEC:   5411.05   5416.75 3.80579e-16 1.77090e-17 1
SPEC:   5416.75   5422.45 3.99526e-16 1.77451e-17 1
SPEC:   5422.45   5428.15 3.96244e-16 1.76778e-17 1
SPEC:   5428.25   5433.95 3.78459e-16 1.76219e-17 1
SPEC:   5433.95   5439.65 3.92551e-16 1.75927e-17 1
SPEC:   5439.65   5445.35 4.30826e-16 1.75437e-17 1
SPEC:   5445.45   5451.15 4.32368e-16 1.74404e-17 1
SPEC:   5451.15   5456.85 4.02452e-16 1.73364e-17 1
SPEC:   5456.85   5462.55 3.96050e-16 1.72590e-17 1
