SPEC:   4756.95   4762.45 5.72642e-16 5.69265e-18 1
SPEC:   4762.45   4767.95 5.80656e-16 5.61800e-18 1
SPEC:   4767.95   4773.45 5.82332e-16 5.55204e-18 1
SPEC:   4773.55   4779.05 5.77005e-16 5.48095e-18 1
SPEC:   4779.05   4784.55 5.77256e-16 5.40264e-18 1
SPEC:   4784.55   4790.05 5.75081e-16 5.31783e-18 1
SPEC:   4790.05   4795.55 5.87530e-16 5.23487e-18 1
SPEC:   4795.55   4801.05 5.83568e-16 5.17966e-18 1
SPEC:   4801.15   4806.65 5.66038e-16 5.11555e-18 1
SPEC:   4806.65   4812.15 5.72789e-16 5.03254e-18 1
SPEC:   4812.15   4817.65 5.58061e-16 4.99438e-18 1
SPEC:   4817.65   4823.15 5.51699e-16 4.94183e-18 1
SPEC:   4823.15   4828.65 5.42800e-16 4.88473e-18 1
SPEC:   4828.65   4834.15 5.27137e-16 4.84285e-18 1
SPEC:   4834.25   4839.75 5.21408e-16 4.80221e-18 1
SPEC:   4839.75   4845.25 5.10509e-16 4.74720e-18 1
SPEC:   4845.25   4850.75 4.99719e-16 4.73428e-18 1
SPEC:   4850.75   4856.25 4.84388e-16 4.70402e-18 1
SPEC:   4856.25   4861.75 4.85924e-16 4.68648e-18 1
SPEC:   4861.85   4867.35 4.77506e-16 4.66923e-18 1
SPEC:   4867.35   4872.85 4.73867e-16 4.65832e-18 1
SPEC:   4872.85   4878.35 4.78903e-16 4.65820e-18 1
SPEC:   4878.35   4883.85 4.78545e-16 4.66221e-18 1
SPEC:   4883.85   4889.35 4.83122e-16 4.66399e-18 1
SPEC:   4889.35   4894.85 4.72543e-16 4.68874e-18 1
SPEC:   4894.85   4900.35 4.73087e-16 4.69722e-18 1
SPEC:   4900.45   4905.95 4.80868e-16 4.72805e-18 1
SPEC:   4905.95   4911.45 4.75391e-16 4.73918e-18 1
SPEC:   4911.45   4916.95 4.66944e-16 4.78509e-18 1
SPEC:   4916.95   4922.45 4.66023e-16 4.85370e-18 1
SPEC:   4922.45   4927.95 4.66214e-16 4.83358e-18 1
SPEC:   4928.05   4933.55 4.53852e-16 4.87430e-18 1
SPEC:   4933.55   4939.05 4.53123e-16 4.92853e-18 1
SPEC:   4939.05   4944.55 4.61543e-16 4.95833e-18 1
SPEC:   4944.55   4950.05 4.62552e-16 5.00333e-18 1
SPEC:   4950.05   4955.55 4.59526e-16 5.07888e-18 1
SPEC:   4955.65   4961.15 4.57958e-16 5.10632e-18 1
SPEC:   4961.15   4966.65 4.71908e-16 5.17213e-18 1
SPEC:   4966.65   4972.15 4.71621e-16 5.21289e-18 1
SPEC:   4972.15   4977.65 4.76249e-16 5.27055e-18 1
SPEC:   4977.65   4983.15 4.75512e-16 5.31850e-18 1
SPEC:   4983.15   4988.65 4.69000e-16 5.39195e-18 1
SPEC:   4988.75   4994.25 4.71104e-16 5.45792e-18 1
SPEC:   4994.25   4999.75 4.72653e-16 5.51945e-18 1
SPEC:   4999.75   5005.25 4.53773e-16 5.55922e-18 1
SPEC:   5005.25   5010.75 4.60884e-16 5.62628e-18 1
SPEC:   5010.75   5016.25 4.43719e-16 5.68344e-18 1
SPEC:   5016.35   5021.85 4.34338e-16 5.75061e-18 1
SPEC:   5021.85   5027.35 4.25628e-16 5.81177e-18 1
SPEC:   5027.35   5032.85 4.26149e-16 5.87271e-18 1
SPEC:   5032.85   5038.35 4.08523e-16 5.93924e-18 1
SPEC:   5038.35   5043.85 3.95216e-16 5.97675e-18 1
SPEC:   5043.85   5049.35 4.02453e-16 6.05770e-18 1
SPEC:   5049.45   5054.95 3.92137e-16 6.13438e-18 1
SPEC:   5054.95   5060.45 3.83195e-16 6.20243e-18 1
SPEC:   5060.45   5065.95 3.79823e-16 6.28425e-18 1
SPEC:   5065.95   5071.45 3.78206e-16 6.34651e-18 1
SPEC:   5071.45   5076.95 3.72833e-16 6.39555e-18 1
SPEC:   5077.05   5082.55 3.81356e-16 6.48477e-18 1
SPEC:   5082.55   5088.05 3.91393e-16 6.56631e-18 1
SPEC:   5088.05   5093.55 4.02439e-16 6.66382e-18 1
SPEC:   5093.55   5099.05 3.93902e-16 6.74845e-18 1
SPEC:   5099.05   5104.55 3.73905e-16 6.84208e-18 1
SPEC:   5104.55   5110.05 3.62983e-16 6.94916e-18 1
SPEC:   5110.15   5115.65 3.65567e-16 7.05522e-18 1
SPEC:   5115.65   5121.15 3.72361e-16 7.17179e-18 1
SPEC:   5121.15   5126.65 3.72196e-16 7.27840e-18 1
SPEC:   5126.65   5132.15 3.79308e-16 7.40421e-18 1
SPEC:   5132.15   5137.65 3.75788e-16 7.53652e-18 1
SPEC:   5137.65   5143.15 3.72732e-16 7.65397e-18 1
SPEC:   5143.25   5148.75 3.62888e-16 7.81048e-18 1
SPEC:   5148.75   5154.25 3.61061e-16 7.95571e-18 1
SPEC:   5154.25   5159.75 3.63771e-16 8.06969e-18 1
SPEC:   5159.75   5165.25 3.52077e-16 8.22338e-18 1
SPEC:   5165.25   5170.75 3.52023e-16 8.35044e-18 1
SPEC:   5170.85   5176.35 3.60080e-16 8.49040e-18 1
SPEC:   5176.35   5181.85 3.61679e-16 8.64412e-18 1
SPEC:   5181.85   5187.35 3.68314e-16 8.75148e-18 1
SPEC:   5187.35   5192.85 3.81890e-16 8.90308e-18 1
SPEC:   5192.85   5198.35 3.83256e-16 9.17081e-18 1
SPEC:   5198.35   5203.85 3.66367e-16 9.30939e-18 1
SPEC:   5203.95   5209.45 3.65776e-16 9.21608e-18 1
SPEC:   5209.45   5214.95 3.63161e-16 9.28600e-18 1
SPEC:   5214.95   5220.45 3.67554e-16 9.36655e-18 1
SPEC:   5220.45   5225.95 3.79268e-16 9.42310e-18 1
SPEC:   5225.95   5231.45 3.91253e-16 9.42122e-18 1
SPEC:   5231.45   5236.95 4.22807e-16 9.45233e-18 1
SPEC:   5237.05   5242.55 4.50164e-16 9.49620e-18 1
SPEC:   5242.55   5248.05 4.68958e-16 9.44133e-18 1
SPEC:   5248.05   5253.55 4.40146e-16 9.42110e-18 1
SPEC:   5253.55   5259.05 3.95134e-16 9.39927e-18 1
SPEC:   5259.05   5264.55 3.87833e-16 9.31186e-18 1
SPEC:   5264.65   5270.15 3.78295e-16 9.21306e-18 1
SPEC:   5270.15   5275.65 3.91708e-16 9.13548e-18 1
SPEC:   5275.65   5281.15 3.96597e-16 9.02532e-18 1
