SPEC: 6023.00 6031.20 1.30412e-16 4.57026e-18 1
SPEC: 6031.20 6039.40 1.30687e-16 4.58240e-18 1
SPEC: 6039.40 6047.60 1.42512e-16 4.57482e-18 1
SPEC: 6047.70 6055.90 1.40470e-16 4.57166e-18 1
SPEC: 6055.90 6064.10 1.42555e-16 4.56696e-18 1
SPEC: 6064.10 6072.30 1.32678e-16 4.56408e-18 1
SPEC: 6072.30 6080.50 1.33558e-16 4.54221e-18 1
SPEC: 6080.60 6088.80 1.33760e-16 4.53116e-18 1
SPEC: 6088.80 6097.00 1.36698e-16 4.51073e-18 1
SPEC: 6097.00 6105.20 1.28890e-16 4.49613e-18 1
SPEC: 6105.30 6113.50 1.28942e-16 4.46732e-18 1
SPEC: 6113.50 6121.70 1.37211e-16 4.44427e-18 1
SPEC: 6121.70 6129.90 1.29700e-16 4.41418e-18 1
SPEC: 6130.00 6138.20 1.34029e-16 4.39241e-18 1
SPEC: 6138.20 6146.40 1.34638e-16 4.38483e-18 1
SPEC: 6146.40 6154.60 1.36212e-16 4.33664e-18 1
SPEC: 6154.60 6162.80 1.26090e-16 4.30503e-18 1
SPEC: 6162.90 6171.10 1.36406e-16 4.28910e-18 1
SPEC: 6171.10 6179.30 1.32577e-16 4.27489e-18 1
SPEC: 6179.30 6187.50 1.36106e-16 4.24025e-18 1
SPEC: 6187.60 6195.80 1.40907e-16 4.21876e-18 1
SPEC: 6195.80 6204.00 1.34786e-16 4.20722e-18 1
SPEC: 6204.00 6212.20 1.39208e-16 4.17910e-18 1
SPEC: 6212.20 6220.40 1.25167e-16 4.17395e-18 1
SPEC: 6220.50 6228.70 1.25856e-16 4.16502e-18 1
SPEC: 6228.70 6236.90 1.24053e-16 4.21470e-18 1
SPEC: 6236.90 6245.10 1.24134e-16 4.20010e-18 1
SPEC: 6245.20 6253.40 1.20146e-16 4.15908e-18 1
SPEC: 6253.40 6261.60 1.25347e-16 4.22932e-18 1
SPEC: 6261.60 6269.80 1.26521e-16 4.20235e-18 1
SPEC: 6269.80 6278.00 1.19548e-16 4.20122e-18 1
SPEC: 6278.10 6286.30 1.17407e-16 4.22693e-18 1
SPEC: 6286.30 6294.50 1.18881e-16 4.28591e-18 1
SPEC: 6294.50 6302.70 1.21862e-16 4.81518e-18 1
SPEC: 6302.80 6311.00 1.17867e-16 4.41010e-18 1
SPEC: 6311.00 6319.20 1.19511e-16 4.33763e-18 1
SPEC: 6319.20 6327.40 1.24775e-16 4.40552e-18 1
SPEC: 6327.50 6335.70 1.26991e-16 4.46928e-18 1
SPEC: 6335.70 6343.90 1.15452e-16 4.46076e-18 1
SPEC: 6343.90 6352.10 1.20876e-16 4.52380e-18 1
SPEC: 6352.10 6360.30 1.23780e-16 4.59122e-18 1
SPEC: 6360.40 6368.60 1.20094e-16 4.83355e-18 1
SPEC: 6368.60 6376.80 1.24416e-16 4.61756e-18 1
SPEC: 6376.80 6385.00 1.22047e-16 4.66806e-18 1
SPEC: 6385.00 6393.20 1.35365e-16 4.70157e-18 1
SPEC: 6393.30 6401.50 1.21304e-16 4.70455e-18 1
SPEC: 6401.50 6409.70 1.37642e-16 4.72527e-18 1
SPEC: 6409.70 6417.90 1.23891e-16 4.74186e-18 1
SPEC: 6418.00 6426.20 1.27352e-16 4.75045e-18 1
SPEC: 6426.20 6434.40 1.20657e-16 4.73835e-18 1
SPEC: 6434.40 6442.60 1.18416e-16 4.73144e-18 1
SPEC: 6442.70 6450.90 1.20670e-16 4.71438e-18 1
SPEC: 6450.90 6459.10 1.17345e-16 4.69845e-18 1
SPEC: 6459.10 6467.30 1.14109e-16 4.70573e-18 1
SPEC: 6467.30 6475.50 1.24503e-16 4.66346e-18 1
SPEC: 6475.60 6483.80 1.21879e-16 4.58907e-18 1
SPEC: 6483.80 6492.00 1.09125e-16 4.52978e-18 1
